,RNA.CST,RNA.HYP,RNA.RN,RNA.DP,RNA.MED,RNA.Other
Gmpr2,0.0930860730765333,0.15711593735468,0.137914248783766,0.123249338353603,0.137281969670275,0.158744256944314
Tinf2,0.0696795701680463,0.0910420296251444,0.0988105122590527,0.0769181559009011,0.0913247174611405,0.115959927219367
Gm49067,0.0119283482291391,0.0063121862551452,0.0174780713963874,0.0134635332609265,0.0130454980719406,0.0141902181594959
Tgm1,0.00500864555399675,0.00209703659370797,0.00608480265052235,0.0105708973464955,0.0082105993580968,0.0202789313019975
Rabggta,0.0865597337639206,0.0481807835258325,0.0558867564110848,0.0473161439267058,0.0645956225741053,0.0594392402124261
Dhrs1,0.0768625351257141,0.152523020971448,0.177501480797035,0.107836913699661,0.119461408967553,0.144014754874757
Nop9,0.0654935824380143,0.0733741367932643,0.069526452063271,0.0505108310407904,0.0577006234377537,0.0541511702392013
Cideb,0.00403478324004491,0.00558242288334048,0,0.00186722952433448,0.00303936789197408,0.0182422218418544
Ltb4r2,0.000181032290609155,0,0,0,0.000685249977538423,0
Ltb4r1,0.000248197144766655,0,0.000720423828219837,0.00275595962945982,0.00075260274726988,0.00084330456652796
Adcy4,8.09241227610949e-05,0.0018511281978471,0,0,0.000205459975574918,0
Nfatc4,0.000941732680962794,0.000641429741762952,0.00225408310489426,0.00248588617110956,0.00223111319482393,0.00374199594544306
Nynrin,0.0016856543613051,0.106306921376251,0.0346728690384033,0.0652883491877765,0.0768028131951374,0.0931481532477042
Cbln3,0.0006266325456756,0.00127624437016702,0.000807138852581093,0,0.0019183926661405,0.00143725821723641
Khnyn,0.0323437598842243,0.115342448442223,0.0635146502034265,0.0709525904941579,0.0747450358372373,0.0557989518094684
Sdr39u1,0.0542676799325994,0.107615001930604,0.0702509445458246,0.122138027069854,0.104878351724813,0.103546671507444
Cma2,0.00108140552640706,0,0,0.000292333501308163,0.000902921163386839,0.00560822300089283
Gm4022,0.000654820383159396,0.00145956338037214,0,0.000324807778756532,0.00051462214772668,0
Atp12a,0.00951040822067753,0,0.00224855094497671,0.00151308482390672,0.010468814955145,0.0129236330553626
Rnf17,0.0305155986398081,0.0452148290534627,0.0433196835495359,0.0352009236504992,0.0416311097882685,0.0336965776301156
Cenpj,0.0100464390620799,0.0272058738078374,0.0247584054932113,0.0145546263426124,0.019716091532087,0.0227632761159304
Parp4,0.00872501302051208,0.128037109532668,0.0722564118817278,0.0736355496601877,0.0737967294662592,0.0833084615765021
Gm16573,0.0040407624444481,0.0207674519054544,0.0126985239681553,0.0066984774013737,0.0182526172023751,0.00888932907904356
Mphosph8,0.709061500680573,0.708859344859378,0.732575258250131,0.818486974414121,0.832545876365367,0.893100185825878
Gm16973,0.0406552160424131,0.0665225865520939,0.0503217730268511,0.0523327936967014,0.0585032283655196,0.0546141483961101
Pspc1,0.751554840087247,1.41584850935743,1.07834949437548,1.27111329287795,1.31671387299967,1.2377588480246
Zmym5,0.341687956336443,0.54850942658396,0.378081007546272,0.407366632482459,0.460416422416187,0.503400771578172
2410022M11Rik,0.0105922098192745,0.0261266861605141,0.0102479398220994,0.0313033072674442,0.02087706276616,0.0175909973777549
Zmym2,1.54385208473558,1.68980318299598,1.56673302136404,1.69135304320031,1.75496470056351,1.62168052455969
Gja3,0.00267977744718058,0.0258349202312576,0,0.00176140376834722,0.000630967489978729,0.0364233358819175
Gjb2,0.00010080855517852,0.00238199138290797,0,0,0,0
Gjb6,0.000560375218486451,0,0.0042626863802239,0.00129593775351782,0.0013500769887535,0
Cryl1,0.237676081256271,0.307625850882398,0.145548029554803,0.0965898065189959,0.138321672243864,0.154541618544273
Ift88,0.733005904364619,0.728938676624608,0.573550510538045,0.59770885827765,0.628717312479288,0.593342865362381
Ift88os,0.00360086120131553,0.00954604689732041,0.00140984866308667,0.00472030682637806,0.00545076458658898,0.00184576011850914
Il17d,0.112439062868168,0.09372837846777,0.0623707929201481,0.0953313603093579,0.109747580406248,0.160881420598053
Eef1akmt1,0.295627922369491,0.377498285632479,0.25782317853092,0.377634826614899,0.347408450506491,0.423525965611552
1700039M10Rik,0.00606014518864229,0.00285370622560128,0.00656599497237724,0.0045750875652716,0.00439032404997742,0.00817077913840948
Xpo4,0.460096379723988,0.71885519670552,0.705793210457801,0.673249274875865,0.750506122847417,0.616398153136089
Lats2,0.0170045291818384,0.0533691928612396,0.177136682140662,0.113562144599946,0.102361713449435,0.0647267801395698
Sap18,0.119681375486658,0.171265844275056,0.138452527127132,0.180724316994006,0.169119058101743,0.216454590061572
