,RNA.0,RNA.1,RNA.2,RNA.3,RNA.4,RNA.5,RNA.6
Map4k4,0.775518138102662,0.74869517896986,1.34458341486769,1.23790461715304,0.730844535889351,0.869444062022189,1.87448090534768
Il1r2,0.108140833873064,0.131840957619466,0.0301098047074572,0.0226507759666966,0.10845084554234,0.0952914290499869,0.00352616893381698
Gm16894,0.369694719391145,0.373265165937442,0.111580068156553,0.103145355725055,0.372038674349768,0.431342167768236,0.0612952176047323
Il1r1,0.00137884146113702,0.00402686460048613,0.00886516318737137,0.00431272518440409,0.00306967624740137,0.00481387628723052,0.0149346465243872
Il1rl2,0.000380359628507315,0,0.0021642422569132,0.00305868123313759,0,0,0
Il1rl1,0,0.00260789106108828,0,0,0.00221938141401229,0.00280913079874825,0
Il18r1,0.00435220591567656,0,0.000698283354167781,0.000729893123209755,0,0,0
Slc9a4,0.000553615686191142,0.000491634011516232,0.00582014835391073,0.0129290370214996,0,0,0.0168169658365772
Slc9a2,0.0020107114621009,0.00220540819018029,0.0014395753431549,0.00205089753428793,0.013686532520423,0,0.0154189172001289
Gm37915,0.00569752172056295,0.00783209578942849,0.00856846574354444,0.00475953951071717,0.0131999162401009,0.0157494893353014,0.0211167255580123
Mfsd9,0.00889376469131812,0.0164528185028364,0.00573700309470952,0.017986506905023,0.018869455444359,0.0160576552832205,0.0375625772119166
Tmem182,0.000844640536191327,0,0,0.000502127741196935,0,0,0.00529737896283677
Gm29260,0.00223732696648837,0.0168336266184967,0.0119783593285324,0.0170429110336152,0.0141989098105561,0.0285508559926236,0.00576008663170294
Gm28175,0.229581790992731,0.465151678734227,0.169813232301308,0.185563981593143,0.34919137375506,0.41696775150923,0.032288649974346
Gm28140,0.0073495653615938,0.0141659245917021,0.0195317390667455,0.0100612769940109,0.0129807067358573,0.00787752048813751,0.00481394349104294
Pantr1,0.485709488382204,1.04887372163799,0.438674579314928,0.409900556994189,1.15200851065416,0.869028427935118,0.266958872716819
Gm20646,0.316213563215589,0.523294735620046,0.142926300245071,0.148450323652544,0.403005620056716,0.441120354061885,0.0571361583929915
Pou3f3,0.122819752354209,0.209921501867444,0.106087034097438,0.112673431080264,0.220275381175058,0.305662465564619,0.0445124757924632
Pantr2,0.105177332269986,0.188872430937039,0.0425942131256305,0.0288870693934454,0.169948272820269,0.108462659802207,0.00614403082828908
Dalir,0.00601059387087172,0.0128262801426684,0,0.00206829659176034,0.00954696673976755,0.018130759142399,0
Mrps9,0.648235209803328,0.586620588572733,0.56155389610925,0.612181860652318,0.724521491703628,0.756894672008141,0.639117309722416
Gpr45,0.909961584123507,0.955776470749144,0.873179364071781,0.566759410703338,0.83800828534208,0.823464319396346,0.736170938081184
Tgfbrap1,0.243489269837856,0.275501808176988,0.229789412690625,0.230282328056229,0.262775013057448,0.21961989154204,0.221806461506325
8430432A02Rik,0.00722792531512983,0.0058567264027902,0.00219271509877304,0.0010506044652791,0,0,0.00563830710956697
